Id,Date,Time,Temperature,Stabilized,Total[ppm],Total[cpm],K[%],K[cpm],U[ppm],U[cpm],Th[ppm],Th[cpm],Dose,Dose units,Latitude,Longitude,Altitude,Section,Height
8016,1/27/19,10:00:50,18.9,0,159.2,1314.5,1.2,90.4,3.9,26.4,6.7,12.5,6.2, uR/h,0,0,0,0,0
8017,1/27/19,10:00:50,20.1,1,149.2,1232.1,1,74.7,3.5,21.2,3.7,7.3,4.8, uR/h,0,0,0,0,0.25
8018,1/27/19,10:00:50,20.1,1,239.5,1977.8,2.9,182.4,4.2,32.7,10.7,19.8,10.2, uR/h,0,0,0,0,0.5
8019,1/27/19,10:00:50,20.1,1,139.1,1149.3,1.5,96.7,2.6,18.1,5,9.4,5.4, uR/h,0,0,0,0,0.75
8020,1/27/19,10:00:50,20.3,1,143.2,1182.7,1.3,80,2.7,13.9,1.3,3.1,3.9, uR/h,0,0,0,0,1
8021,1/27/19,10:00:50,20.3,1,160.7,1327,0.7,63.3,2.9,24.4,8.7,15.6,5.5, uR/h,0,0,0,0,1.25
8022,1/27/19,10:00:50,20.3,1,142.3,1175.6,1,71.6,2.9,18.1,3.8,7.3,4.4, uR/h,0,0,0,0,1.5
8023,1/27/19,10:00:50,20.3,1,175.8,1452.4,1.6,96.7,1.3,13.9,6.3,11.5,5.2, uR/h,0,0,0,0,1.75
8024,1/27/19,10:00:50,20.4,1,236.1,1949.9,2.4,176.1,6.9,45.3,10.4,19.8,11.1, uR/h,0,0,0,0,2
8025,1/27/19,10:00:50,20.4,1,230,1899.9,2.9,175.9,2.8,26.4,10.9,19.8,9.4, uR/h,0,0,0,0,2.25
8026,1/27/19,10:00:50,20.4,1,241.7,1996.5,2.8,180.3,3.9,33.8,12.6,23,10.5, uR/h,0,0,0,0,2.5
8027,1/27/19,10:00:50,20.4,1,155.9,1287.2,2.4,132.2,0,9.7,10.1,17.7,6.7, uR/h,0,0,0,0,2.75
8028,1/27/19,10:00:50,20.3,1,153.1,1264.3,1.7,96.7,1.6,11.8,3.8,7.3,4.6, uR/h,0,0,0,0,3
8029,1/27/19,10:00:50,20.3,1,157.4,1299.8,1.9,128,4.1,26.5,5.9,11.5,7.2, uR/h,0,0,0,0,3.25
8030,1/27/19,10:00:50,20.5,1,192.3,1588.4,2.4,142.7,1.3,18.1,9.9,17.7,7.5, uR/h,0,0,0,0,3.5
8031,1/27/19,10:00:50,20.5,1,146.2,1207.8,1.8,96.7,0,5.6,5.3,9.4,4.3, uR/h,0,0,0,0,3.75
8032,1/27/19,10:00:50,20.5,1,168.2,1389.6,1.3,88.3,2,20.2,8.8,15.6,5.8, uR/h,0,0,0,0,4
8033,1/27/19,10:00:50,19.3,1,178.2,1471.5,2.1,138.4,4.3,26.4,5.3,10.4,7.5, uR/h,0,0,0,1,0
8034,1/27/19,10:00:50,19.7,1,144.4,1192.3,1.1,77.8,0.6,17,11.4,19.8,5.6, uR/h,0,0,0,1,0.25
8035,1/27/19,10:00:50,20.3,1,247.8,2046.9,3.2,196,2.4,29.6,15.2,27.1,10.9, uR/h,0,0,0,1,0.5
8036,1/27/19,10:00:50,20.5,1,246.3,2034.2,3,180.3,3.4,26.5,8.9,16.7,9.3, uR/h,0,0,0,1,0.75
8037,1/27/19,10:00:50,20.8,1,205.3,1695.3,2.2,145.8,3.6,29.6,10.2,18.8,8.7, uR/h,0,0,0,1,1
8038,1/27/19,10:00:50,20.9,1,214.2,1769.6,2.8,164.6,2.2,21.2,9.1,16.7,8.3, uR/h,0,0,0,1,1.25
8039,1/27/19,10:00:50,21.1,1,238.4,1969.4,3.1,189.7,4.6,29.6,6.9,13.6,9.6, uR/h,0,0,0,1,1.5
8040,1/27/19,10:00:50,21.3,1,187,1544.7,1.8,112.3,1.2,17.1,9.4,16.7,6.4, uR/h,0,0,0,1,1.75
8041,1/27/19,10:00:50,21.3,1,232.5,1920.1,2.5,154.1,2.7,24.4,9.7,17.7,8.4, uR/h,0,0,0,1,2
8042,1/27/19,10:00:50,21.5,1,239.1,1974.6,2.8,171.9,2.7,27.5,12.1,21.9,9.6, uR/h,0,0,0,1,2.25
8043,1/27/19,10:00:50,21.6,1,199,1644,2.4,147.8,3.5,24.4,6.5,12.5,7.7, uR/h,0,0,0,1,2.5
8044,1/27/19,10:00:50,21.7,1,147.6,1219.5,1.8,99.8,0.4,9.7,6.4,11.5,4.9, uR/h,0,0,0,1,2.75
8045,1/27/19,10:00:50,21.7,1,162.3,1340.7,1.2,81,2,17,6.3,11.5,5, uR/h,0,0,0,1,3
8046,1/27/19,10:00:50,22,1,169.7,1401.3,1.9,128,3.1,26.4,9.7,17.7,7.8, uR/h,0,0,0,1,3.25
8047,1/27/19,10:00:50,22.1,1,218,1800.9,2.5,161.4,5.1,30.6,5.7,11.5,8.6, uR/h,0,0,0,1,3.5
8048,1/27/19,10:00:50,22.1,1,257.7,2128.4,3.4,202.2,0.7,25.4,18.4,32.4,11.2, uR/h,0,0,0,1,3.75
8049,1/27/19,10:00:50,22.1,1,231.7,1913.9,2.7,163.5,3.2,23.3,7.2,13.6,8.2, uR/h,0,0,0,1,4
8050,1/27/19,10:00:50,22.3,1,273.6,2259.4,3.6,217.9,3.3,29.6,11.9,21.9,11.1, uR/h,0,0,0,1,4.25
8051,1/27/19,10:00:50,22.4,1,253,2089.8,3.4,197,0.9,20.2,13.5,24,9.8, uR/h,0,0,0,1,4.5
8052,1/27/19,10:00:50,22.4,1,244.5,2019.6,3,185.5,2.8,28.6,12.7,23,10.2, uR/h,0,0,0,1,4.75
8053,1/27/19,10:00:50,22.3,1,241.5,1994.5,2.8,170.9,2.5,26.5,12.2,21.9,9.4, uR/h,0,0,0,1,5
8054,1/27/19,10:00:50,22.8,1,232.8,1922.4,2.6,163.6,2.4,28.6,14,25,9.7, uR/h,0,0,0,1,5.25
8055,1/27/19,10:00:50,22.9,1,195.3,1612.7,2.7,152,0,13.9,13.2,23,8.1, uR/h,0,0,0,1,5.5
8056,1/27/19,10:00:50,22.9,1,218.8,1807.2,2.4,154.1,2.5,27.5,12.8,23,9.1, uR/h,0,0,0,1,5.75
8057,1/27/19,10:00:50,23.1,1,260.7,2153.6,3.3,190.8,2.4,23.3,10.3,18.8,9.5, uR/h,0,0,0,1,6
8058,1/27/19,10:00:50,23.2,1,156.1,1289.5,1.5,101.8,3.8,22.3,3.6,7.3,5.7, uR/h,0,0,0,1,6.25
8059,1/27/19,10:00:50,23.2,1,278.5,2300.4,3.1,197.1,5.1,36.9,10.5,19.8,11, uR/h,0,0,0,1,6.5
8060,1/27/19,10:00:50,23.3,1,183.7,1517.5,1.6,107.1,2.5,23.3,9.2,16.7,6.8, uR/h,0,0,0,1,6.75
8061,1/27/19,10:00:50,23.3,1,175.9,1452.6,1.4,99.8,2.5,23.3,9.3,16.7,6.6, uR/h,0,0,0,1,7
8062,1/27/19,10:00:50,23.3,1,184.6,1524.7,2,125.9,0.4,20.2,15,26.1,7.9, uR/h,0,0,0,1,7.25
8063,1/27/19,10:00:50,23.7,1,88.2,728.4,0.8,50.7,0.2,7.6,5.4,9.4,3, uR/h,0,0,0,1,7.5
8064,1/27/19,10:00:50,23.9,1,167.4,1382.6,1.6,92.5,1.7,11.8,3.2,6.2,4.4, uR/h,0,0,0,1,7.75
8065,1/27/19,10:00:50,24,1,180.7,1492.4,2.2,133.2,2.2,19.1,7.4,13.5,6.9, uR/h,0,0,0,1,8
8066,1/27/19,10:00:50,23.9,1,193.4,1597,2.1,140.5,4.3,29.6,7.7,14.6,8.2, uR/h,0,0,0,1,8.25
8067,1/27/19,10:00:50,23.7,1,175.9,1452.7,2.1,130.1,2.5,22.3,8.6,15.6,7.3, uR/h,0,0,0,1,8.5
8068,1/27/19,10:00:50,23.7,1,235.5,1945.3,2.8,165.6,2.3,23.3,10.3,18.8,8.7, uR/h,0,0,0,1,8.75
8069,1/27/19,10:00:50,23.7,1,213.9,1766.5,2.7,167.7,3.6,28.5,9.6,17.7,9.2, uR/h,0,0,0,1,9
8070,1/27/19,10:00:50,23.7,1,230.6,1904.4,2.4,162.5,5.1,34.8,8.8,16.7,9.5, uR/h,0,0,0,1,9.25
8071,1/27/19,10:00:50,23.6,1,244,2015.3,2.5,167.7,5.5,35.9,8.1,15.6,9.7, uR/h,0,0,0,1,9.5
8072,1/27/19,10:00:50,23.6,1,263.2,2174.3,3.4,192.8,1.3,19.1,11,19.8,9.2, uR/h,0,0,0,1,9.75
8073,1/27/19,10:00:50,23.6,1,235.6,1946.3,2.9,176.1,2.5,26.5,12.1,21.9,9.6, uR/h,0,0,0,1,10
8074,1/27/19,10:00:50,23.5,1,239.3,1976.6,3.1,175,1,15,8.6,15.6,8, uR/h,0,0,0,1,10.25
8075,1/27/19,10:00:50,23.3,1,235.5,1945.1,2.7,159.4,2.2,21.2,9.1,16.7,8.2, uR/h,0,0,0,1,10.5
8076,1/27/19,10:00:50,23.3,1,234.9,1939.9,3,175,2.8,22.3,7.8,14.6,8.5, uR/h,0,0,0,1,10.75
8077,1/27/19,10:00:50,23.2,1,238.4,1969.4,2.8,171.9,2.6,25.4,10.9,19.8,9.2, uR/h,0,0,0,1,11
8078,1/27/19,10:00:50,23.1,1,235.5,1945.3,2.9,179.2,4.3,30.6,8.8,16.7,9.6, uR/h,0,0,0,1,11.25
8079,1/27/19,10:00:50,23.1,1,231.1,1908.7,2.4,144.7,1.8,21.2,10.5,18.8,7.9, uR/h,0,0,0,1,11.5
8080,1/27/19,10:00:50,23.1,1,250.4,2067.9,2.4,163.6,5.5,35.9,8.1,15.6,9.5, uR/h,0,0,0,1,11.75
8081,1/27/19,10:00:50,23.2,1,219.9,1816.6,2.5,145.8,1.8,18.1,8,14.6,7.3, uR/h,0,0,0,1,12
8082,1/27/19,10:00:50,23.3,1,170.1,1404.6,1.8,111.3,2.5,19.1,6.2,11.5,6.1, uR/h,0,0,0,1,12.25
8083,1/27/19,10:00:50,23.3,1,132.1,1091.4,1.5,96.6,2.4,18.1,5.6,10.4,5.4, uR/h,0,0,0,1,12.5
8084,1/27/19,10:00:50,23.3,1,183.5,1515.3,1.7,111.3,2.4,21.2,8,14.6,6.5, uR/h,0,0,0,1,12.75
8085,1/27/19,10:00:50,23.3,1,188.7,1558.3,1.8,115.5,2.4,21.2,8,14.6,6.7, uR/h,0,0,0,1,13
8086,1/27/19,10:00:50,23.5,1,164.6,1359.5,1.6,111.3,4.2,26.4,5.3,10.4,6.6, uR/h,0,0,0,1,13.25
8087,1/27/19,10:00:50,23.5,1,192,1585.4,2.2,138.4,3.2,25.4,8.5,15.6,7.8, uR/h,0,0,0,1,13.5
8088,1/27/19,10:00:50,23.3,1,205,1693.1,2.6,154.1,1.5,18.1,9.2,16.7,7.7, uR/h,0,0,0,1,13.75
8089,1/27/19,10:00:50,23.3,1,241.2,1992.4,2.7,168.8,3.3,28.6,10.8,19.8,9.4, uR/h,0,0,0,1,14
8090,1/27/19,10:00:50,23.3,1,216.7,1789.5,2.5,154.1,2.1,23.3,11,19.8,8.5, uR/h,0,0,0,1,14.25
8091,1/27/19,10:00:50,23.3,1,224.9,1857.5,2.8,164.6,0.7,21.2,14.8,26.1,9.1, uR/h,0,0,0,1,14.5
8092,1/27/19,10:00:50,23.3,1,212.7,1757,2.3,146.8,2.8,26.5,11,19.8,8.5, uR/h,0,0,0,1,14.75
8093,1/27/19,10:00:50,23.3,1,207.4,1713.1,2.4,148.8,0.9,22.3,14.9,26.1,8.7, uR/h,0,0,0,1,15
8094,1/27/19,10:00:50,23.3,1,202,1668.1,2.3,140.5,0.8,20.2,13.7,24,8.1, uR/h,0,0,0,1,15.25
8095,1/27/19,10:00:50,23.3,1,150.3,1241.4,1.5,96.6,1.1,16,8.8,15.6,5.7, uR/h,0,0,0,1,15.5
8096,1/27/19,10:00:50,23.6,1,204,1684.7,2.2,146.8,4,30.6,9.6,17.7,8.7, uR/h,0,0,0,1,15.75
8097,1/27/19,10:00:50,23.9,1,134,1106.5,1.2,75.7,0.8,11.8,6.4,11.5,4.3, uR/h,0,0,0,1,16
8098,1/27/19,10:00:50,24,1,121.2,1001.1,1.1,71.5,0.9,12.9,7.1,12.5,4.4, uR/h,0,0,0,1,16.25
8099,1/27/19,10:00:50,23.7,1,166.2,1373.1,1.9,118.6,2.5,18.1,5.5,10.4,6.1, uR/h,0,0,0,1,16.5
8100,1/27/19,10:00:50,23.7,1,210.7,1740.3,3.2,179.2,0.5,15,10.5,18.8,8.4, uR/h,0,0,0,1,16.75
8101,1/27/19,10:00:50,23.7,1,254.3,2100.3,3.2,199.1,4.4,31.7,9.4,17.7,10.4, uR/h,0,0,0,1,17
8102,1/27/19,10:00:50,23.5,1,275.1,2271.8,3.4,202.3,1.5,28.6,17.7,31.3,11.4, uR/h,0,0,0,1,17.25
8103,1/27/19,10:00:50,23.6,1,262.9,2171.2,3.1,186.6,2.7,26.5,11.5,20.9,9.8, uR/h,0,0,0,1,17.5
8104,1/27/19,10:00:50,23.6,1,243.8,2013.3,2.4,164.6,4.7,35.9,11.3,20.9,10, uR/h,0,0,0,1,17.75
8105,1/27/19,10:00:50,23.6,1,255,2106.3,3.5,210.6,4.2,30.6,9.4,17.7,10.6, uR/h,0,0,0,1,18
8106,1/27/19,10:00:50,23.7,1,255.3,2108.4,3.3,201.2,4.3,29.6,8.2,15.6,10.1, uR/h,0,0,0,1,18.25
8107,1/27/19,10:00:50,23.7,1,256.7,2120,3.2,198,3.3,31.7,13.2,24,10.9, uR/h,0,0,0,1,18.5
8108,1/27/19,10:00:50,23.7,1,244.5,2019.5,3.2,195.9,4.2,28.5,7.6,14.6,9.7, uR/h,0,0,0,1,18.75
8109,1/27/19,10:00:50,23.7,1,230.8,1906.5,2.9,164.6,1.2,18.1,10.5,18.8,8.2, uR/h,0,0,0,1,19
8110,1/27/19,10:00:50,23.7,1,222.9,1840.6,2.6,152,1.5,17.1,8.6,15.6,7.5, uR/h,0,0,0,1,19.25
8111,1/27/19,10:00:50,23.6,1,245,2023.7,3.3,181.3,0,11.8,10.6,18.8,8.2, uR/h,0,0,0,1,19.5
8112,1/27/19,10:00:50,23.3,1,203.5,1680.6,2.9,170.8,3.7,23.3,5.2,10.4,8.1, uR/h,0,0,0,1,19.75
8113,1/27/19,10:00:50,23.3,1,219.9,1816.5,2.6,160.4,3.4,25.4,7.8,14.6,8.4, uR/h,0,0,0,1,20
8114,1/27/19,10:00:50,23.2,1,242.5,2002.8,3.2,184.4,0,19.1,20.6,35.5,11.1, uR/h,0,0,0,1,20.25
8115,1/27/19,10:00:50,23.2,1,246.3,2034.1,2.7,174,2,32.7,19,33.4,11.1, uR/h,0,0,0,1,20.5
8116,1/27/19,10:00:50,23.2,1,245.3,2025.8,3.2,184.5,2.5,20.2,7.2,13.6,8.5, uR/h,0,0,0,1,20.75
8117,1/27/19,10:00:50,23.1,1,238,1966.1,3.3,198,3.7,26.5,7.6,14.6,9.6, uR/h,0,0,0,1,21
8118,1/27/19,10:00:50,23.2,1,209.9,1734,2.4,146.8,2.3,21.2,8.5,15.6,7.7, uR/h,0,0,0,1,21.25
8119,1/27/19,10:00:50,23.2,1,175.2,1447.4,2.2,139.5,2.9,25.4,9.7,17.7,8, uR/h,0,0,0,1,21.5
8120,1/27/19,10:00:50,22.9,1,211.2,1744.3,2.6,153.1,3.2,21.2,5.3,10.4,7.4, uR/h,0,0,0,1,21.75
8121,1/27/19,10:00:50,23.1,1,255.2,2107.5,2.8,170.9,3.5,26.5,8.3,15.6,8.9, uR/h,0,0,0,1,22
8122,1/27/19,10:00:50,22.9,1,243.7,2013.2,3.6,201.2,2.2,19.1,7.8,14.6,9, uR/h,0,0,0,1,22.25
8123,1/27/19,10:00:50,22.8,1,227.4,1878.2,2.9,169.8,1,20.2,12.9,23,8.9, uR/h,0,0,0,1,22.5
8124,1/27/19,10:00:50,22.7,1,239.2,1975.4,3,183.4,3.9,27.5,7.6,14.6,9.3, uR/h,0,0,0,1,22.75
8125,1/27/19,10:00:50,22.5,1,249.2,2058.1,3.2,193.8,2.4,29.6,15.2,27.1,10.9, uR/h,0,0,0,1,23
8126,1/27/19,10:00:50,18.8,1,225.8,1864.7,2.8,162.5,1.3,20.2,11.7,20.9,8.5, uR/h,0,0,0,1,23.25
8127,1/27/19,10:00:50,19.3,1,222.7,1839.6,2.8,171.9,2.9,27.5,11.5,20.9,9.5, uR/h,0,0,0,1,23.5
8128,1/27/19,10:00:50,19.7,0,235.5,1945.2,3.2,190.7,3.4,24.4,7,13.6,9.1, uR/h,0,0,0,1,23.75
8129,1/27/19,10:00:50,19.9,1,166.5,1375.3,1.6,100.8,1.5,16,7.5,13.5,5.7, uR/h,0,0,0,1,24
8130,1/27/19,10:00:50,20.3,1,263.4,2175.5,3.1,183.4,1.3,22.3,13.5,24,9.6, uR/h,0,0,0,1,24.25
8131,1/27/19,10:00:50,20.5,1,244.9,2022.8,3,178.2,1.6,22.3,12.2,21.9,9.3, uR/h,0,0,0,1,24.5
8132,1/27/19,10:00:50,20.8,1,209.7,1732,2.1,138.5,5,29.6,5.2,10.4,7.8, uR/h,0,0,0,1,24.75
8133,1/27/19,10:00:50,20.9,1,142.6,1177.6,1.9,112.3,1.9,15,5,9.4,5.5, uR/h,0,0,0,1,25
8134,1/27/19,10:00:50,21.2,1,161.9,1337.6,1.7,106,2.3,19.1,6.8,12.5,6, uR/h,0,0,0,1,25.25
8135,1/27/19,10:00:50,21.3,1,270.8,2236.3,3.3,196,2.6,26.5,12.1,21.9,10.2, uR/h,0,0,0,1,25.5
8136,1/27/19,10:00:50,21.6,1,239.1,1974.5,3.2,199.1,4.7,31.7,8.1,15.6,10.2, uR/h,0,0,0,1,25.75
8137,1/27/19,10:00:50,21.9,1,183.3,1514.3,1.8,111.3,1.7,19.1,9.3,16.7,6.5, uR/h,0,0,0,1,26
8138,1/27/19,10:00:50,22.1,1,248.2,2050,3.2,189.7,2.8,24.4,9.6,17.7,9.4, uR/h,0,0,0,1,26.25
8139,1/27/19,10:00:50,22.1,1,272.5,2250.8,3.3,197,1,26.5,17.8,31.3,11, uR/h,0,0,0,1,26.5
8140,1/27/19,10:00:50,22.3,1,243.4,2010.1,2.9,173,2.7,24.4,9.7,17.7,8.9, uR/h,0,0,0,1,26.75
8141,1/27/19,10:00:50,22.4,1,251.2,2074.9,3.4,203.3,3.6,27.5,8.8,16.7,10, uR/h,0,0,0,1,27
8142,1/27/19,10:00:50,22.4,1,181.7,1500.7,1.8,124.8,4.3,27.5,5.9,11.5,7.2, uR/h,0,0,0,1,27.25
8143,1/27/19,10:00:50,22.5,1,218.3,1803,2.9,174,2.4,24.4,10.9,19.8,9.2, uR/h,0,0,0,1,27.5
8144,1/27/19,10:00:50,22.5,1,111.8,923.6,0.9,59,0.4,9.7,6.5,11.5,3.6, uR/h,0,0,0,1,27.75
8145,1/27/19,10:00:50,22.8,1,105.9,874.6,0.8,64.2,2.6,20.2,6.3,11.5,4.8, uR/h,0,0,0,1,28
8146,1/27/19,10:00:50,22.8,1,144,1189.2,1.5,97.7,1.7,17,7.5,13.5,5.7, uR/h,0,0,0,1,28.25
8147,1/27/19,10:00:50,22.8,1,266.5,2200.8,3.5,204.3,2.3,25.4,12.1,21.9,10.3, uR/h,0,0,0,1,28.5
8148,1/27/19,10:00:50,22.8,0,155.4,1283.2,2,132.1,2.8,26.4,11,19.8,8.1, uR/h,0,0,0,1,28.75
8149,1/27/19,10:00:50,22.5,1,164.4,1357.5,2,115.4,0.1,11.8,9.5,16.7,6, uR/h,0,0,0,1,29
8150,1/27/19,10:00:50,22.5,1,169.8,1402.4,2,124.8,2.8,21.2,6.7,12.5,6.8, uR/h,0,0,0,1,29.25
8151,1/27/19,10:00:50,22.3,1,126.3,1042.9,1.4,85.1,1.5,11.8,3.9,7.3,4.3, uR/h,0,0,0,1,29.5
8152,1/27/19,10:00:50,22.4,1,204.2,1686.9,2.6,151,0.7,19.1,13,23,8.3, uR/h,0,0,0,1,29.75
8153,1/27/19,10:00:50,22.3,1,223.4,1844.8,3.3,185.5,0.7,18.1,12.3,21.9,9.1, uR/h,0,0,0,1,30
8154,1/27/19,10:00:50,22.1,1,219.4,1812.4,2.6,162.5,2.6,25.4,10.9,19.8,8.9, uR/h,0,0,0,1,30.25
8155,1/27/19,10:00:50,22.1,1,239.1,1974.5,3.1,176.1,0.6,16,11.1,19.8,8.5, uR/h,0,0,0,1,30.5
8156,1/27/19,10:00:50,22.1,1,247.5,2044.6,2.9,178.2,3.6,28.5,9.5,17.7,9.5, uR/h,0,0,0,1,30.75
8157,1/27/19,10:00:50,22.1,1,239.8,1980.7,3.1,176.1,1.7,18.1,8.5,15.6,8.3, uR/h,0,0,0,1,31
8158,1/27/19,10:00:50,22.1,1,228,1883.5,3,168.8,2.3,17.1,5.4,10.4,7.5, uR/h,0,0,0,1,31.25
8159,1/27/19,10:00:50,22.1,1,239.3,1976.5,3,181.3,3.3,25.4,8.3,15.6,9.1, uR/h,0,0,0,1,31.5
8160,1/27/19,10:00:50,22.1,1,215.4,1778.7,2.7,159.3,1.2,19.1,11.1,19.8,8.2, uR/h,0,0,0,1,31.75
8161,1/27/19,10:00:50,22.1,1,173.2,1430.6,1.5,100.8,3.2,23.3,6.7,12.5,6.2, uR/h,0,0,0,1,32
8162,1/27/19,10:00:50,22.3,1,189.4,1564.5,2.2,136.3,2,21.2,9.8,17.7,7.6, uR/h,0,0,0,1,32.25
8163,1/27/19,10:00:50,23.5,1,139.8,1154.7,1.4,89.3,2.2,17,5.6,10.4,5.1, uR/h,0,0,0,1,32.5
8164,1/27/19,10:00:50,23.5,1,221.6,1830.4,2.3,152.1,4.3,32.7,10.1,18.8,9.2, uR/h,0,0,0,1,32.75
8165,1/27/19,10:00:50,23.3,1,159.9,1320.8,2,111.2,0,8.7,10.2,17.7,6.1, uR/h,0,0,0,1,33
8166,1/27/19,10:00:50,23.3,1,117.5,970.7,1.1,74.7,0.8,15,8.9,15.6,5, uR/h,0,0,0,1,33.25
8167,1/27/19,10:00:50,23.1,1,143.5,1185,1.7,103.9,1.9,17,6.9,12.5,5.8, uR/h,0,0,0,1,33.5
8168,1/27/19,10:00:50,23.3,1,200.4,1655.5,2.6,154.1,0.8,21.2,14.2,25,8.7, uR/h,0,0,0,1,33.75
8169,1/27/19,10:00:50,23.3,1,180.6,1491.3,2.2,134.2,1.9,19.1,8.6,15.6,7.1, uR/h,0,0,0,1,34
8170,1/27/19,10:00:50,23.3,1,90.2,745.1,0.3,31.9,1.5,13.9,5.3,9.4,3, uR/h,0,0,0,1,34.25
8171,1/27/19,10:00:50,23.3,1,85.3,704.4,0.7,52.7,2.8,14.9,1.4,3.1,3.2, uR/h,0,0,0,1,34.5
8172,1/27/19,10:00:50,23.3,1,96.9,800.5,0.3,42.3,3.7,22.3,3.8,7.3,3.9, uR/h,0,0,0,1,34.75
8173,1/27/19,10:00:50,23.2,1,126.3,1042.9,1.3,83,0,13.9,11.5,19.8,5.5, uR/h,0,0,0,1,35
8174,1/27/19,10:00:50,22.3,1,162.3,1340.7,1.9,114.4,2.3,16,4.3,8.3,5.6, uR/h,0,0,0,1,35.25
8175,1/27/19,10:00:50,22.4,1,140.2,1157.8,1.6,102.9,2.9,18.1,3.7,7.3,5.4, uR/h,0,0,0,1,35.5
8176,1/27/19,10:00:50,22.4,1,242,1998.8,3.2,187.6,2.1,22.3,10.3,18.8,9.3, uR/h,0,0,0,1,35.75
8177,1/27/19,10:00:50,22.3,1,274.3,2265.6,3.4,204.4,4.9,29.6,5.6,11.5,9.8, uR/h,0,0,0,1,36
8178,1/27/19,10:00:50,22.1,1,192.8,1592.8,2.2,126.9,1.9,16,6.2,11.5,6.3, uR/h,0,0,0,1,36.25
8179,1/27/19,10:00:50,22.1,1,188,1553,2.5,149.9,2.8,20.2,6,11.5,7.3, uR/h,0,0,0,1,36.5
8180,1/27/19,10:00:50,22.1,1,210.8,1741.2,2.8,174,3.4,26.5,9,16.7,9.1, uR/h,0,0,0,1,36.75
8181,1/27/19,10:00:50,22.1,1,198.8,1641.8,2.3,146.8,3.5,26.5,8.4,15.6,8.2, uR/h,0,0,0,1,37
8182,1/27/19,10:00:50,22.1,1,217.3,1794.7,2.1,145.8,4.7,33.8,9.5,17.7,9, uR/h,0,0,0,1,37.25
8183,1/27/19,10:00:50,22.1,1,231.8,1914.9,2.4,157.3,4.1,31.7,10.2,18.8,9.2, uR/h,0,0,0,1,37.5
8184,1/27/19,10:00:50,22.1,1,231.7,1913.8,2.8,179.2,4.2,31.7,10.1,18.8,9.9, uR/h,0,0,0,1,37.75
8185,1/27/19,10:00:50,22.1,1,244.5,2019.4,2.3,163.5,6.8,41.1,7.4,14.6,9.9, uR/h,0,0,0,1,38
8186,1/27/19,10:00:50,22.1,1,244.6,2020.6,2.9,171.9,2.2,24.4,11.6,20.9,9.2, uR/h,0,0,0,1,38.25
8187,1/27/19,10:00:50,22.1,1,178.8,1476.6,1.8,121.7,2.9,25.4,9.8,17.7,7.5, uR/h,0,0,0,1,38.5
8188,1/27/19,10:00:50,21.9,1,161.1,1330.3,1.2,85.1,1,21.2,13.2,22.9,6.5, uR/h,0,0,0,1,38.75
8189,1/27/19,10:00:50,21.7,1,174.6,1442.2,1.7,109.2,3.5,22.3,4.8,9.4,6.1, uR/h,0,0,0,1,39
8190,1/27/19,10:00:50,21.7,1,201.7,1666,2.4,146.8,1.2,22.3,13.6,24,8.5, uR/h,0,0,0,1,39.25
8191,1/27/19,10:00:50,21.7,1,172,1420.3,1.6,107.1,4.1,23.3,3.5,7.3,6, uR/h,0,0,0,1,39.5
8192,1/27/19,10:00:50,21.5,1,275.5,2275.2,3.3,208.5,4.6,35.9,11.8,21.9,11.4, uR/h,0,0,0,1,39.75
8193,1/27/19,10:00:50,21.6,1,258.3,2133.8,3.3,190.8,2,22.3,10.9,19.8,9.5, uR/h,0,0,0,1,40
8194,1/27/19,10:00:50,21.5,1,145.4,1200.6,1.7,105,1.9,18.1,7.5,13.5,6, uR/h,0,0,0,1,40.25
8195,1/27/19,10:00:50,21.3,1,141.1,1165.2,1.4,95.6,3.3,22.3,5.5,10.4,5.8, uR/h,0,0,0,1,40.5
8196,1/27/19,10:00:50,21.3,1,183.5,1515.3,1.7,105,1.1,18.1,10.7,18.8,6.4, uR/h,0,0,0,1,40.75
8197,1/27/19,10:00:50,20,1,149.9,1238.3,1.7,105,1.9,17,6.9,12.5,5.8, uR/h,0,0,0,1,41
8198,1/27/19,10:00:50,20.4,1,116.9,965.5,1.5,84.1,0.2,6.6,4.6,8.3,3.8, uR/h,0,0,0,1,41.25
8199,1/27/19,10:00:50,20.5,1,142.8,1179.7,1.4,89.3,2.8,16,2.5,5.2,4.6, uR/h,0,0,0,1,41.5
8200,1/27/19,10:00:50,20.9,1,248.2,2049.9,3.2,191.8,3.6,26.5,8.3,15.6,9.5, uR/h,0,0,0,1,41.75